titolo,descrizione,img,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno
Sicilia - Approdi e Spiagge Blu 2021,"La Sicilia conquista dieci bandiere blu distribuite tra le province di Messina, Agrigento e Ragusa.
Le Bandiere Blu vanno ai Comuni di Alì Terme, Roccalumera, Santa Teresa di Riva, Lipari, Tusa, Menfi, Modica, Ispica, Pozzallo, Ragusa.",legend/thumbs_index/bandiereblu.jpg,"Ambiente,mare,spiagge,approdi,bandiere blu,feee",Ambiente,Sicilia,bandiereblu.html,FEE Italia,,@gbvitrano,11-05-2021,2021-May,2021
Covid-19 | 2021 - Centri vaccinali in Sicilia,Mappa ed lelenco dei centri vccinali covid-19 in sicilia,legend/thumbs_index/sicilia_centri_vaccinali.jpg,"covid-19,sicilia,vaccini,zona rossa,zone rosse,,Incidenza cumulativa, indice 250,","Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali",Sicilia,https://bl.ocks.org/gbvitrano/raw/c95bf7141e51d2029addfe0b92ae12b0/,OpenDataSicilia,,"@aborruso,@totofiandaca,@gbvitrano",16-04-2021,2021-April,2021
COVID-19 | 2021 - Comuni siciliani attualmente in zona rossa,"La Regione Siciliana pubblica le ordinanze per le zone rosse solo tramite PDF (spesso sono fotocopie) e sono raccolte nel sito ufficiale nella sezione SERVIZI INFORMATIVI | ORDINANZE COVID-19.
Per ovviare a questi brutti PDF, Totò Fiandaca ha creato un foglio elettronico dove ha scritto, dopo aver aperto uno ad uno tutte le ordinanze del 2021, i comuni in zona rossa e relativo intervallo temporale, compreso anche di eventuale proroga e link al PDF.",legend/thumbs_index/zonarossa_11042021.jpg,"covid-19,sicilia,vaccini,zona rossa,zone rosse,,Incidenza cumulativa, indice 250,","Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali",Sicilia,https://bl.ocks.org/gbvitrano/raw/664ac98fd51590d48290b70709a4ea48/,OpenDataSicilia,,"@aborruso,@totofiandaca,@DennisAngemi,@gbvitrano",06-04-2021,2021-April,2021
COVID-19 | 2021 - Incidenza cumulativa settimanale dei contagi,"Incidenza cumulativa settimanale dei contagi, Ricoverati e posti letto in terapia intensiva",legend/thumbs_index/social_card_ondata.jpg,"covid-19,sicilia,vaccini,zona rossa,zone rosse,","Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali",Italia,https://bl.ocks.org/gbvitrano/raw/9e2d5b6721cd757a290d73f6ba7bc6d6/,onData,,@aborruso,05-03-2021,2021-March,2021
Geolocalizzazione degli esercizi convenzionati buono pasto cartaceo ed eletronico | Impresa SODEXO | 2021,Sicilia | Convenzione Buoni Pasto 8 Lotto 12 - Impresa SODEXO | 2021,legend/thumbs_index/buoni_pasto.jpg,"Buoni pasto, Esercizi convenzionati,SODEXO,",Cultura,Sicilia,buoni_pasto.html,Comune di Palermo,,@gbvitrano,16-02-2021,2021-February,2021
Italia - Mappa news Incendi registrati nel 2021,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2021,legend/thumbs_index/news_incendi_2018.jpg,"Incendi,News,EFFIS,Pericolo","Emergenze,Ambiente,Incendi",Italia,news_incendi_2021.html,EFFIS,,@gbvitrano,01-01-2021,2021-January,2021
Mappa terremoti in Italia nel 2021 (earthquakes today),Mappa terremoti in Italia nel 2021 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,legend/thumbs_index/terremoti_2019.jpg,"Terremoti,Terremoto,IGNV,Lista terremto,",Emergenze,Italia,terremoti_2021.html,INGV,,"@aborruso,@gbvitrano",01-01-2021,2021-January,2021
Cambia-menti 1962,Cambia-menti…#Palermo…Variante Generale PRG 2004 vs PRG 1962,legend/thumbs_index/cambia-menti2.jpg,"Variante Generale,PRG,PPE,Centro Storico,Palermo,Controllo del territorio,Governo del territorio,Zonizzazione,Pianp Particolareggiato",Strumenti Urbanistici,Palermo,cambia-menti2.html,Comune di Palermo,,@gbvitrano,27-12-2020,2020-December,2020
PRG aggionato con i provvedimenti del d.p.r.s. n 110/a del 28/06/1962 e con le successive varianti fino a giugno 1984,Le tavole sono in formato JPG quale frutto di scansione delle tavole cartacee.,legend/thumbs_index/qu_prg_62.jpg,"Variante Generale,PRG,PPE,Centro Storico,Palermo,Controllo del territorio,Governo del territorio,Zonizzazione,Pianp Particolareggiato",Strumenti Urbanistici,Palermo,qu_prg_62.html,Comune di Palermo,,@gbvitrano,25-12-2020,2020-December,2020
Oli vegetali usati punti di raccolta in Sicilia,La mappa dei punti di raccolta è disponibile all'indirizzo https://ecologicaitaliana.com/mappa-raccolte-oli.html ed ulteriori informazioni sono disponibili al numero verde gratuito 800-987719,legend/thumbs_index/oli_vegetali.jpg,"Olii,Riciclo,Rifiuti",Ambiente,Sicilia,oli_vegetali.html,ecologicaitaliana.com,,"@aborruso,@cirospat,@gbvitrano",04-03-2020,2020-March,2020
Italia - Mappa news Incendi registrati nel 2020,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2020,legend/thumbs_index/news_incendi_2020.jpg,"Incendi,News,EFFIS,Pericolo","Emergenze,Ambiente,Incendi",Italia,news_incendi_2020.html,EFFIS,,@gbvitrano,01-01-2020,2020-January,2020
Mappa terremoti in Italia nel 2020 (earthquakes today),Mappa terremoti in Italia nel 2020 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,legend/thumbs_index/terremoti_2018.jpg,"Terremoti,Terremoto,IGNV,Lista terremto,",Emergenze,Italia,terremoti_2020.html,INGV,,"@aborruso,@gbvitrano",01-01-2020,2020-January,2020
Ufficio Anagrafe e Postazioni decentrate dove vegono rilasciate le carte d'identità elettroniche - CIE,"Palermo, Ufficio Anagrafe, Postazioni decentrate e sede di Circoscrizione. Carta di identità elettronica. Dal primo ottobre, Il costo di rilascio sarà di 22.20 euro di cui 16.8 andranno al Ministero dell’Interno, mentre per ottenere il duplicato in caso di danneggiamento, furto o smarrimento il costo sarà di 27.35 euro....",legend/thumbs_index/cie.jpg,"Palermo,Cie,CIE,Carta di identità elettronica,Ufficio Anagrafe, Postazioni decentrate,Circoscrizioni,",Uffici Comunali,Palermo,cie.html,Comune di Palermo,,@gbvitrano,21-09-2019,2019-September,2019
"Fontanelle a Palermo, un progetto per scoprire quelle di acqua potabile - Rielaborazione dati OpenDataSicilia.it e Associazione onData.it","Adesso lo sai, Se usi una fontanella, ti prendi cura del mondo,  Non fare piangere una fontanella, USALA!",legend/thumbs_index/social_card_07.jpg,"Palermo,Fontanelle,Fontane,Acqua pubblica,Amap,PlasticFree,PalermoPlasticFree,",Ambiente,Palermo,https://fontanelle.ondata.it/mappa/,"AMAP S.p.A.,Comune  di Palermo",,"@aborruso,@Emiliodigri,@totofiandaca,@cirospat,@gpirrotta,@gbvitrano",26-08-2019,2019-August,2019
Fontanelle acqua potabile Comune di Palermo - 2019,"Palermo, mappa delle fontane e fontanelle pubbliche di aqcua potabile più vicono casa. Si potrà fare approvvigionamento di acqua potabile e frenare il consumo di plastica. Un piccolo gesto per la difesa dell'ambiente. #PalermoPlasticFree",legend/thumbs_index/fontanelle1_pa.jpg,"Palermo,Fontanelle,Fontane,Acqua pubblica,Amap,PlasticFree,PalermoPlasticFree,",Ambiente,Palermo,fontanelle_pa.html,AMAP S.p.A.,,@gbvitrano,25-08-2019,2019-August,2019
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish,"Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2018 - Rielaborati con Flourish, la piattaforma più potente per la visualizzazione e la narrazione dei dati",legend/thumbs_index/sinistri_2018_flourish.jpg,"Palermo,Polizia Municipale,Incidenti,Sinistri,Flourish",Mobilità,Palermo,sinistri_2018_flourish.html,Comune di Palermo,,"@aborruso,@gbvitrano",22-07-2019,2019-July,2019
"Sicilia, spiagge accessibili 2019","Strutture balneari che tra percorsi dedicati e servizi necessari per le persone con disabilità motoria (anche temporanea) costituiscono in Sicilia una costellazione di spiagge accessibili in cui il mare è accessibile: da Palermo ad Agrigento, da Trapani a Catania, Siracusa e Pantelleria, il mare di Sicilia è un'esperienza godibile da tutti. (cit)",legend/thumbs_index/sicilia_spiagge_accessibili_02.jpg,"Sicily accessible beaches,Sicilia spiagge accessibili,Sedia Job,Disabili,Vacanze,Mare,Spiagge,Dog club,Dog beach,Spiaggia di Pluto, Sicilia spiagge per disabili",Cultura,Sicilia,sicilia_spiagge_accessibili.html,Sicilia Turismo per Tutti,,@gbvitrano,22-06-2019,2019-June,2019
"Palermo, popolazione residente per cittadinanza, UPL , Quartiere e Circoscrizione - 2018 Mappa a densità di punti","Gli stranieri residenti a Palermo nel 2018  sono 25.735 e rappresentano 130 Nazionalità, oggi sono il 3,83% della popolazione totale (670.954). Chi sono questi stranieri? Da dove vengono? Quanti sono? Dove vivono? Qual'è il rapporto stranieri/italiani nel territorio? ...I cittadini Bangladesi, Singalesi, Ghanesi e Romeni da soli costituiscono più della  metà (57,41%) di tutti gli stranieri residenti a  Palermo.",legend/thumbs_index/stranieri_residenti_subregions_dot.jpg,"Popolazione straniera,Stranieri,Palermo,Circoscrizioni",Statistica,Palermo,stranieri_residenti_subregions_dot.html,Comune di Palermo,,"@aborruso,@totofiandaca,@gbvitrano",08-06-2019,2019-June,2019
Residenti Stranieri a Palermo - 2018,Popolazione Residente a Palermo nel 2018. Palermo si contraddistingue tra i comuni siciliani per una maggiore presenza multietnica: gli stranieri residenti sono di 127 differenti nazionalità. Questa specificità è testimoniata tanto dal crogiolo di lingue parlate quanto dalle diverse “culture” presenti.,legend/thumbs_index/residenti_stranieri_pa.jpg,"Popolazione straniera,Stranieri,Palermo,Circoscrizioni,",Statistica,Palermo,stranieri_residenti_suregions.html,Comune di Palermo,,"@aborruso,@totofiandaca,@gbvitrano",18-05-2019,2019-May,2019
