X,Y,id,tipo_ubicazione,denominazione_ubicazione,numero_ civico,note,Indirizzo,UPL,Quartiere,Circoscrizione
13.277896,38.196919,1465,Via,SFERRACAVALLO,198,,"Via Sferracavallo, 198, 90147 Palermo",Sferracavallo,Tommaso Natale - Sferracavallo,VII
13.361487,38.11569,1466,Piazza,SANTISSIMI COSMA E DAMIANO,15,,"Palermo, Province of Palermo, Italia",Tribunali o Kalsa,Tribunali-Castellammare,I
13.282466,38.206691,1467,Via,BARCARELLO,,,"Via Barcarello, Palermo",Sferracavallo,Tommaso Natale - Sferracavallo,VII
13.276063,38.19916,1468,Via,AMORELLO,1,,"Via Amorello, 1, 90147 Palermo",Sferracavallo,Tommaso Natale - Sferracavallo,VII
13.277447,38.199226,1469,Via,DEI PESCATORI,,,"Via dei Pescatori, 90147 Palermo",Sferracavallo,Tommaso Natale - Sferracavallo,VII
13.343003,38.149086,1471,VLE,DEL FANTE,3,,"Viale del Fante, 3, 90146 Palermo",Resuttana,Resuttana - San Lorenzo,VI
13.333238,38.17493,1475,Via,DIETRO LA PARROCCHIA,97,,"Via Dietro La Parrocchia, 97, 90146 Palermo",Pallavicino,Pallavicino,VII
13.312588,38.178417,1477,Via,ZAPPA GINO,,,"Via Gino Zappa, 90146 Palermo",San Filippo Neri,Pallavicino,VII
13.361282,38.141859,1483,Via,LANDOLINA SAVERIO - P.Mondello,54,,"Via Saverio Landolina, 90142 Palermo",Montepellegrino,Montepellegrino,VIII
13.313967,38.19867,1484,Via,CATALANO,17,,"Via Catalano, 17, 90151 Palermo",Partanna Mondello,Partanna Mondello,VII
13.313354,38.201728,1485,Cortile,"CATALANO, PARTANNA-MONDELLO",24,,"Cortile Catalano, 90151 Palermo",Partanna Mondello,Partanna Mondello,VII
13.314916,38.197529,1486,Via,"CARBONE, PARTANNA-MONDELLO",1,,"Via Carbone, 143, 90151 Palermo",Partanna Mondello,Partanna Mondello,VII
13.327002,38.20756,1488,Piazza,MONDELLO,1,,"Piazza Mondello, 1, 90151 Palermo",Partanna Mondello,Partanna Mondello,VII
13.334124,38.175016,1490,Via,GIUSINO,24,,"Via Giusino, 24, 90146 Palermo",Pallavicino,Pallavicino,VII
13.327773,38.193902,1491,Via,SALINE,29,,"Via Saline, 29, 90149 Palermo",Partanna Mondello,Partanna Mondello,VII
13.326662,38.192369,1492,Piazza,MARTINI,3,,"Piazza Martini, 3, 90149 Palermo",Partanna Mondello,Partanna Mondello,VII
